titles,category
"조갑제 ""한동훈 살아 돌아와…국힘 양아치 시대 청산해야""",Politics
“여론조사 무덤으로 기록될 선거”…출구·여론조사 또 틀렸다,Politics
"‘졌잘싸’ 김부겸…예상 밖 격전지된 대구, 보수의 심장에 균열을 내다",Politics
[뉴스워치] 대역전 드라마 쓴 오세훈…투표지 사태 후폭풍 확산,Politics
완벽한 승리 없었다… 與 '서울 탈환' 실패,Politics
[2026 지선] 4석 그친 국힘…'사퇴론 재 점화' 장동혁 미래는?,Politics
결국 속내는 선거불복·윤 어게인…‘3위’ 김현태의 변,Politics
[6·3 지선] '샤이 보수' 벽에 막힌 여론조사…격전지 예측 빗나가,Politics
한동훈·유의동 격전지 당선...합리적 보수 목소리 커질까,Politics
"""호떡집서도 일어날 수 없는 후진국 참사...선관위원장 즉각 물러나야""[박영환의 시사1번지]",Politics
오세훈·한동훈 '반등'..김부겸·조국 '숨고르기',Politics
"""여기가 메인 전쟁터""…부정선거 시위대에 갇힌 잠실7동 투표소",Politics
'돌아온' 송영길·이광재...민주당 대표 두고 정청래·김민석과 경쟁 예고,Politics
12대 4 압승인데…정원오·김경수·김부겸 왜 졌나,Politics
이기지 못한 선거...지방권력 교체에도 여야에 '찜찜한 숙제' 안겼다,Politics
지역주의·양당 구도 흔든 한동훈...보수 진영 대권주자 ‘급부상’,Politics
박지현 “압승할 수 있었는데 놓쳐…정청래 책임 지고 사퇴해야”,Politics
초유의 투표 중단 사태에 항의 지속...밤샘 시위,Politics
靑출신 7명 출마해 5명 생환…하정우·김병욱은 낙선,Politics
"""극우 난리로 치부할까 우려""…투표용지 부족 사태 논란 확산, ""잠실 와달라"" 호소도",Politics
"""2018 악몽 재현 막았다"" 장동혁, 사퇴 압박에도 '정면 돌파'",Politics
춘천 연고 한동훈 '역대급 0.5선' 등장에 강원 현역 의원 '역할론' 급부상,Politics
"경기 기초 19곳 차지하고도 못 웃는 민주당... ""패배 안 믿겨""",Politics
"“윤어게인” “독재타도” 등장한 잠실7동제2투표소···주민들 “너무 시끄러워, 그냥 갔으면”",Politics
"SNS 샤라웃부터 악수털기, 선거의 여왕까지…판세 흔든 결정적 순간 넷",Politics
"張 사퇴요구 거세지나…""당권파 언행, 품격이나 실력에 맞지 않아…지도부는 거취 정해야""",Politics
